,ID,Address,District,geoData
88396,PVN_hd_VAO_1540_5,"город Москва, улица Молдагуловой, дом 28, корпус 3",район Вешняки,"{'coordinates': [37.8263236253668, 55.7186172369418], 'type': 'Point'}"
92614,PVN_hd_VAO_2097_4,"город Москва, 3-я Парковая улица, дом 44, корпус 2",район Северное Измайлово,"{'coordinates': [37.784203473233, 55.804733352429], 'type': 'Point'}"
8734,PVN_hd_SZAO_6348_1,"город Москва, улица Маршала Бирюзова, дом 21",район Щукино,"{'coordinates': [37.4903532910335, 55.7947543240406], 'type': 'Point'}"
38513,PVN_hd_TSAO_3932_2,"город Москва, Татарская улица, дом 5, строение 1",район Замоскворечье,"{'coordinates': [37.63841302444, 55.7344223198129], 'type': 'Point'}"
47315,PVN_hd_TSAO_1275_7,"город Москва, улица Плющиха, дом 42",район Хамовники,"{'coordinates': [37.5762431424173, 55.741045025624], 'type': 'Point'}"
10866,PVN_hd_SZAO_6500_1,"город Москва, улица Рогова, дом 13",район Щукино,"{'coordinates': [37.4588731107958, 55.795539720165], 'type': 'Point'}"
27149,PVN_hd_UVAO_2_9236_1,"город Москва, Волочаевская улица, дом 13",район Лефортово,"{'coordinates': [37.6783300657113, 55.7517779158385], 'type': 'Point'}"
41431,PVN_hd_UZAO_1033_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, бульвар Дмитрия Донского, дом 6",район Северное Бутово,"{'coordinates': [37.5746628251093, 55.5689336423489], 'type': 'Point'}"
14102,PVN_hd_SZAO_6077_1,"город Москва, улица Генерала Глаголева, дом 8, корпус 3",район Хорошёво-Мнёвники,"{'coordinates': [37.4633623081288, 55.7805340255772], 'type': 'Point'}"
18235,PVN_hd_UZAO_7253_6,"город Москва, улица Каховка, дом 14, корпус 1",район Зюзино,"{'coordinates': [37.5751119207762, 55.6556424198055], 'type': 'Point'}"
85308,PVN_hd_VAO_974_1,"город Москва, улица Молостовых, дом 11, корпус 2",район Ивановское,"{'coordinates': [37.8353937573879, 55.7578865719068], 'type': 'Point'}"
102035,PVN_hd_UVAO_4471_5,"город Москва, Волгоградский проспект, дом 149",район Кузьминки,"{'coordinates': [37.7811977717192, 55.7042551678198], 'type': 'Point'}"
57047,PVN_hd_TSAO_12118_1,"город Москва, Карманицкий переулок, дом 3",район Арбат,"{'coordinates': [37.5862465233212, 55.7490400231926], 'type': 'Point'}"
27218,PVN_hd_UVAO_9543_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Некрасовка, Рождественская улица, дом 23/33",район Некрасовка,"{'coordinates': [37.9207020906875, 55.7057023427124], 'type': 'Point'}"
49792,PVN_hd_UAO_1726_1,"город Москва, Каширское шоссе, дом 55, корпус 6",район Москворечье-Сабурово,"{'coordinates': [37.6963153757558, 55.639100414578], 'type': 'Point'}"
46606,PVN_hd_ZAO_9409_2,"город Москва, улица Скульптора Мухиной, дом 8, корпус 2",район Ново-Переделкино,"{'coordinates': [37.3430419279408, 55.641662449864], 'type': 'Point'}"
